humEns,mouseEns,hgnc_symbol
ENSG00000025708,ENSMUSG00000022615,TYMP
ENSG00000026103,ENSMUSG00000024778,FAS
ENSG00000026508,ENSMUSG00000005087,CD44
ENSG00000026559,ENSMUSG00000074575,KCNG1
ENSG00000026751,ENSMUSG00000038179,SLAMF7
ENSG00000027075,ENSMUSG00000021108,PRKCH
ENSG00000027697,ENSMUSG00000020009,IFNGR1
ENSG00000027847,ENSMUSG00000021504,B4GALT7
ENSG00000027869,ENSMUSG00000028071,SH2D2A
ENSG00000028116,ENSMUSG00000064090,VRK2
ENSG00000028839,ENSMUSG00000071359,TBPL1
ENSG00000029153,ENSMUSG00000040187,BMAL2
ENSG00000030110,ENSMUSG00000057789,BAK1
ENSG00000030582,ENSMUSG00000034708,GRN
ENSG00000033327,ENSMUSG00000004508,GAB2
ENSG00000033627,ENSMUSG00000019302,ATP6V0A1
ENSG00000034053,ENSMUSG00000030519,APBA2
ENSG00000034713,ENSMUSG00000031950,GABARAPL2
ENSG00000035115,ENSMUSG00000020669,SH3YL1
ENSG00000035681,ENSMUSG00000028245,NSMAF
ENSG00000035720,ENSMUSG00000029254,STAP1
ENSG00000035862,ENSMUSG00000017466,TIMP2
ENSG00000036054,ENSMUSG00000022749,TBC1D23
ENSG00000037042,ENSMUSG00000045007,TUBG2
ENSG00000037280,ENSMUSG00000020357,FLT4
ENSG00000037757,ENSMUSG00000004996,MRI1
ENSG00000038219,ENSMUSG00000061755,BOD1L1
ENSG00000038427,ENSMUSG00000021614,VCAN
ENSG00000038945,ENSMUSG00000025044,MSR1
ENSG00000039068,ENSMUSG00000000303,CDH1
ENSG00000039319,ENSMUSG00000021706,ZFYVE16
ENSG00000039560,ENSMUSG00000022246,RAI14
ENSG00000039600,ENSMUSG00000040489,SOX30
ENSG00000040275,ENSMUSG00000069910,SPDL1
ENSG00000040608,ENSMUSG00000043811,RTN4R
ENSG00000041353,ENSMUSG00000024511,RAB27B
ENSG00000041357,ENSMUSG00000032301,PSMA4
ENSG00000042980,ENSMUSG00000014725,ADAM28
ENSG00000043093,ENSMUSG00000027708,DCUN1D1
ENSG00000043143,ENSMUSG00000020387,JADE2
ENSG00000043462,ENSMUSG00000002699,LCP2
ENSG00000044115,ENSMUSG00000037815,CTNNA1
ENSG00000044459,ENSMUSG00000038070,CNTLN
ENSG00000046647,ENSMUSG00000040621,GEMIN8
ENSG00000047597,ENSMUSG00000015342,XK
ENSG00000047617,ENSMUSG00000038115,ANO2
ENSG00000047621,ENSMUSG00000030347,C12orf4
ENSG00000047648,ENSMUSG00000031355,ARHGAP6
ENSG00000048028,ENSMUSG00000032267,USP28
ENSG00000048342,ENSMUSG00000039765,CC2D2A
ENSG00000048392,ENSMUSG00000022292,RRM2B
ENSG00000049089,ENSMUSG00000028626,COL9A2
ENSG00000049245,ENSMUSG00000028955,VAMP3
ENSG00000049323,ENSMUSG00000001870,LTBP1
ENSG00000049449,ENSMUSG00000005973,RCN1
ENSG00000049759,ENSMUSG00000024589,NEDD4L
ENSG00000049860,ENSMUSG00000021665,HEXB
ENSG00000050130,ENSMUSG00000005078,JKAMP
ENSG00000050327,ENSMUSG00000033542,ARHGEF5
ENSG00000050393,ENSMUSG00000021371,MCUR1
ENSG00000050405,ENSMUSG00000023022,LIMA1
ENSG00000050438,ENSMUSG00000023032,SLC4A8
ENSG00000050555,ENSMUSG00000026840,LAMC3
ENSG00000051382,ENSMUSG00000032462,PIK3CB
ENSG00000051620,ENSMUSG00000019853,HEBP2
ENSG00000053702,ENSMUSG00000001520,NRIP2
ENSG00000053770,ENSMUSG00000036291,AP5M1
ENSG00000054267,ENSMUSG00000039219,ARID4B
ENSG00000054356,ENSMUSG00000026204,PTPRN
ENSG00000054523,ENSMUSG00000063077,KIF1B
ENSG00000054690,ENSMUSG00000060716,PLEKHH1
ENSG00000054983,ENSMUSG00000021003,GALC
ENSG00000055332,ENSMUSG00000024079,EIF2AK2
ENSG00000055732,ENSMUSG00000036853,MCOLN3
ENSG00000056558,ENSMUSG00000026875,TRAF1
ENSG00000057019,ENSMUSG00000035107,DCBLD2
ENSG00000057294,ENSMUSG00000041957,PKP2
ENSG00000058063,ENSMUSG00000037400,ATP11B
ENSG00000058091,ENSMUSG00000028926,CDK14
ENSG00000058272,ENSMUSG00000019907,PPP1R12A
ENSG00000058453,ENSMUSG00000040860,CROCC
ENSG00000058799,ENSMUSG00000057375,YIPF1
ENSG00000059122,ENSMUSG00000040097,FLYWCH1
ENSG00000059378,ENSMUSG00000038507,PARP12
ENSG00000059728,ENSMUSG00000001156,MXD1
ENSG00000059804,ENSMUSG00000003153,SLC2A3
ENSG00000060138,ENSMUSG00000030189,YBX3
ENSG00000060491,ENSMUSG00000049401,OGFR
ENSG00000060558,ENSMUSG00000034792,GNA15
ENSG00000060566,ENSMUSG00000035041,CREB3L3
ENSG00000060982,ENSMUSG00000030268,BCAT1
ENSG00000061337,ENSMUSG00000036306,LZTS1
ENSG00000061676,ENSMUSG00000027002,NCKAP1
ENSG00000062194,ENSMUSG00000032745,GPBP1
ENSG00000062282,ENSMUSG00000030747,DGAT2
ENSG00000062524,ENSMUSG00000027297,LTK
ENSG00000062582,ENSMUSG00000020477,MRPS24
ENSG00000062822,ENSMUSG00000038644,POLD1
ENSG00000063176,ENSMUSG00000057342,SPHK2
ENSG00000063177,ENSMUSG00000059070,RPL18
ENSG00000063180,ENSMUSG00000003273,CA11
ENSG00000063660,ENSMUSG00000034220,GPC1
ENSG00000064201,ENSMUSG00000000244,TSPAN32
ENSG00000064225,ENSMUSG00000022747,ST3GAL6
ENSG00000064545,ENSMUSG00000002342,TMEM161A
ENSG00000064601,ENSMUSG00000017760,CTSA
ENSG00000064932,ENSMUSG00000035673,SBNO2
ENSG00000065029,ENSMUSG00000024220,ZNF76
ENSG00000065057,ENSMUSG00000041429,NTHL1
ENSG00000065135,ENSMUSG00000000001,GNAI3
ENSG00000065268,ENSMUSG00000035754,WDR18
ENSG00000065357,ENSMUSG00000025357,DGKA
ENSG00000065413,ENSMUSG00000052331,ANKRD44
ENSG00000065534,ENSMUSG00000022836,MYLK
ENSG00000065613,ENSMUSG00000025060,SLK
ENSG00000065615,ENSMUSG00000032872,CYB5R4
ENSG00000065675,ENSMUSG00000026778,PRKCQ
ENSG00000065717,ENSMUSG00000034771,TLE2
ENSG00000065911,ENSMUSG00000005667,MTHFD2
ENSG00000065923,ENSMUSG00000037341,SLC9A7
ENSG00000066084,ENSMUSG00000023026,DIP2B
ENSG00000066230,ENSMUSG00000036123,SLC9A3
ENSG00000066279,ENSMUSG00000033952,ASPM
ENSG00000067064,ENSMUSG00000058258,IDI1
ENSG00000067141,ENSMUSG00000032340,NEO1
ENSG00000067182,ENSMUSG00000030341,TNFRSF1A
ENSG00000067191,ENSMUSG00000020882,CACNB1
ENSG00000067208,ENSMUSG00000011831,EVI5
ENSG00000067221,ENSMUSG00000032333,STOML1
ENSG00000067840,ENSMUSG00000002006,PDZD4
ENSG00000067900,ENSMUSG00000024290,ROCK1
ENSG00000067992,ENSMUSG00000035232,PDK3
ENSG00000068024,ENSMUSG00000026313,HDAC4
ENSG00000068028,ENSMUSG00000010067,RASSF1
ENSG00000068079,ENSMUSG00000010358,IFI35
ENSG00000068305,ENSMUSG00000030557,MEF2A
ENSG00000068323,ENSMUSG00000000134,TFE3
ENSG00000068366,ENSMUSG00000031278,ACSL4
ENSG00000068489,ENSMUSG00000020493,PRR11
ENSG00000068654,ENSMUSG00000049553,POLR1A
ENSG00000068697,ENSMUSG00000020585,LAPTM4A
ENSG00000068784,ENSMUSG00000024135,SRBD1
ENSG00000068831,ENSMUSG00000032946,RASGRP2
ENSG00000068976,ENSMUSG00000032648,PYGM
ENSG00000069188,ENSMUSG00000041592,SDK2
ENSG00000069399,ENSMUSG00000053175,BCL3
ENSG00000069535,ENSMUSG00000040147,MAOB
ENSG00000069667,ENSMUSG00000032238,RORA
ENSG00000069702,ENSMUSG00000029287,TGFBR3
ENSG00000069974,ENSMUSG00000032202,RAB27A
ENSG00000070182,ENSMUSG00000021061,SPTB
ENSG00000070190,ENSMUSG00000028159,DAPP1
ENSG00000070269,ENSMUSG00000036339,TMEM260
ENSG00000070404,ENSMUSG00000020325,FSTL3
ENSG00000070423,ENSMUSG00000035890,RNF126
ENSG00000070501,ENSMUSG00000031536,POLB
ENSG00000070614,ENSMUSG00000054008,NDST1
ENSG00000070759,ENSMUSG00000033985,TESK2
ENSG00000071189,ENSMUSG00000020590,SNX13
ENSG00000071537,ENSMUSG00000020964,SEL1L
ENSG00000071564,ENSMUSG00000020167,TCF3
ENSG00000071575,ENSMUSG00000020601,TRIB2
ENSG00000071655,ENSMUSG00000035478,MBD3
ENSG00000071894,ENSMUSG00000034022,CPSF1
ENSG00000072134,ENSMUSG00000001036,EPN2
ENSG00000072163,ENSMUSG00000024395,LIMS2
ENSG00000072195,ENSMUSG00000026207,SPEG
ENSG00000072401,ENSMUSG00000019927,UBE2D1
ENSG00000072422,ENSMUSG00000019944,RHOBTB1
ENSG00000072506,ENSMUSG00000025260,HSD17B10
ENSG00000072858,ENSMUSG00000022696,SIDT1
ENSG00000073060,ENSMUSG00000037936,SCARB1
ENSG00000073331,ENSMUSG00000028028,ALPK1
ENSG00000073350,ENSMUSG00000020782,LLGL2
ENSG00000073536,ENSMUSG00000020692,NLE1
ENSG00000073670,ENSMUSG00000020926,ADAM11
ENSG00000073737,ENSMUSG00000027068,DHRS9
ENSG00000073756,ENSMUSG00000032487,PTGS2
ENSG00000073792,ENSMUSG00000033581,IGF2BP2
ENSG00000073803,ENSMUSG00000033618,MAP3K13
ENSG00000073849,ENSMUSG00000022885,ST6GAL1
ENSG00000073861,ENSMUSG00000001444,TBX21
ENSG00000073921,ENSMUSG00000039361,PICALM
ENSG00000073969,ENSMUSG00000034187,NSF
ENSG00000074219,ENSMUSG00000030796,TEAD2
ENSG00000074410,ENSMUSG00000032373,CA12
ENSG00000074416,ENSMUSG00000033174,MGLL
ENSG00000074660,ENSMUSG00000038188,SCARF1
ENSG00000075151,ENSMUSG00000028760,EIF4G3
ENSG00000075275,ENSMUSG00000016028,CELSR1
ENSG00000075391,ENSMUSG00000070565,RASAL2
ENSG00000075399,ENSMUSG00000001062,VPS9D1
ENSG00000075420,ENSMUSG00000039286,FNDC3B
ENSG00000075426,ENSMUSG00000029135,FOSL2
ENSG00000075702,ENSMUSG00000037020,WDR62
ENSG00000075785,ENSMUSG00000079477,RAB7A
ENSG00000075790,ENSMUSG00000020650,BCAP29
ENSG00000076108,ENSMUSG00000040054,BAZ2A
ENSG00000076248,ENSMUSG00000029591,UNG
ENSG00000076513,ENSMUSG00000041870,ANKRD13A
ENSG00000076554,ENSMUSG00000027506,TPD52
ENSG00000076555,ENSMUSG00000042010,ACACB
ENSG00000076604,ENSMUSG00000017386,TRAF4
ENSG00000076685,ENSMUSG00000025041,NT5C2
ENSG00000076826,ENSMUSG00000044433,CAMSAP3
ENSG00000076864,ENSMUSG00000041351,RAP1GAP
ENSG00000077238,ENSMUSG00000030748,IL4R
ENSG00000077348,ENSMUSG00000061286,EXOSC5
ENSG00000077420,ENSMUSG00000026786,APBB1IP
ENSG00000077616,ENSMUSG00000043943,NAALAD2
ENSG00000077984,ENSMUSG00000068129,CST7
ENSG00000078081,ENSMUSG00000041247,LAMP3
ENSG00000078098,ENSMUSG00000000392,FAP
ENSG00000078124,ENSMUSG00000030760,ACER3
ENSG00000078140,ENSMUSG00000029203,UBE2K
ENSG00000078142,ENSMUSG00000033628,PIK3C3
ENSG00000078399,ENSMUSG00000038227,HOXA9
ENSG00000078589,ENSMUSG00000050921,P2RY10
ENSG00000078687,ENSMUSG00000025571,TNRC6C
ENSG00000078804,ENSMUSG00000038375,TP53INP2
ENSG00000079215,ENSMUSG00000005360,SLC1A3
ENSG00000079263,ENSMUSG00000070031,SP140
ENSG00000079277,ENSMUSG00000028708,MKNK1
ENSG00000079393,ENSMUSG00000021768,DUSP13
ENSG00000079435,ENSMUSG00000003123,LIPE
ENSG00000079482,ENSMUSG00000031214,OPHN1
ENSG00000079616,ENSMUSG00000030677,KIF22
ENSG00000080031,ENSMUSG00000035429,PTPRH
ENSG00000080493,ENSMUSG00000060961,SLC4A4
ENSG00000080546,ENSMUSG00000038332,SESN1
ENSG00000080573,ENSMUSG00000004098,COL5A3
ENSG00000080815,ENSMUSG00000019969,PSEN1
ENSG00000081087,ENSMUSG00000038280,OSTM1
ENSG00000081181,ENSMUSG00000021125,ARG2
ENSG00000081320,ENSMUSG00000026094,STK17B
ENSG00000081377,ENSMUSG00000033102,CDC14B
ENSG00000081692,ENSMUSG00000036819,JMJD4
ENSG00000082014,ENSMUSG00000028949,SMARCD3
ENSG00000082146,ENSMUSG00000026027,STRADB
ENSG00000082196,ENSMUSG00000058914,C1QTNF3
ENSG00000082212,ENSMUSG00000024556,ME2
ENSG00000082438,ENSMUSG00000034903,COBLL1
ENSG00000082458,ENSMUSG00000000881,DLG3
ENSG00000082512,ENSMUSG00000026637,TRAF5
ENSG00000082781,ENSMUSG00000022817,ITGB5
ENSG00000082996,ENSMUSG00000036503,RNF13
ENSG00000083123,ENSMUSG00000032263,BCKDHB
ENSG00000083454,ENSMUSG00000005950,P2RX5
ENSG00000083799,ENSMUSG00000036712,CYLD
ENSG00000083807,ENSMUSG00000030382,SLC27A5
ENSG00000083845,ENSMUSG00000012848,RPS5
ENSG00000083937,ENSMUSG00000004843,CHMP2B
ENSG00000084070,ENSMUSG00000032870,SMAP2
ENSG00000084073,ENSMUSG00000043207,ZMPSTE24
ENSG00000084731,ENSMUSG00000020668,KIF3C
ENSG00000084733,ENSMUSG00000020671,RAB10
ENSG00000084774,ENSMUSG00000013629,CAD
ENSG00000085063,ENSMUSG00000068686,CD59
ENSG00000085265,ENSMUSG00000026835,FCN1
ENSG00000085449,ENSMUSG00000073643,WDFY1
ENSG00000085465,ENSMUSG00000074340,OVGP1
ENSG00000085514,ENSMUSG00000046245,PILRA
ENSG00000085563,ENSMUSG00000040584,ABCB1
ENSG00000085662,ENSMUSG00000001642,AKR1B1
ENSG00000085733,ENSMUSG00000031078,CTTN
ENSG00000086061,ENSMUSG00000028410,DNAJA1
ENSG00000086065,ENSMUSG00000028419,CHMP5
ENSG00000086232,ENSMUSG00000029613,EIF2AK1
ENSG00000086288,ENSMUSG00000041138,NME8
ENSG00000086300,ENSMUSG00000038301,SNX10
ENSG00000086506,ENSMUSG00000073063,HBQ1
ENSG00000086730,ENSMUSG00000040751,LAT2
ENSG00000086967,ENSMUSG00000038670,MYBPC2
ENSG00000087076,ENSMUSG00000030825,HSD17B14
ENSG00000087085,ENSMUSG00000023328,ACHE
ENSG00000087116,ENSMUSG00000036545,ADAMTS2
ENSG00000087157,ENSMUSG00000017715,PGS1
ENSG00000087206,ENSMUSG00000025878,UIMC1
ENSG00000087253,ENSMUSG00000033192,LPCAT2
ENSG00000087258,ENSMUSG00000031748,GNAO1
ENSG00000087502,ENSMUSG00000030304,ERGIC2
ENSG00000088053,ENSMUSG00000078810,GP6
ENSG00000088179,ENSMUSG00000026384,PTPN4
ENSG00000088298,ENSMUSG00000038312,EDEM2
ENSG00000088325,ENSMUSG00000027469,TPX2
ENSG00000088387,ENSMUSG00000025558,DOCK9
ENSG00000088543,ENSMUSG00000037977,C3orf18
ENSG00000088726,ENSMUSG00000059900,TMEM40
ENSG00000088808,ENSMUSG00000021285,PPP1R13B
ENSG00000088826,ENSMUSG00000027333,SMOX
ENSG00000088832,ENSMUSG00000032966,FKBP1A
ENSG00000088881,ENSMUSG00000053552,EBF4
ENSG00000088899,ENSMUSG00000037703,LZTS3
ENSG00000088992,ENSMUSG00000029359,TESC
ENSG00000089041,ENSMUSG00000029468,P2RX7
ENSG00000089091,ENSMUSG00000037259,DZANK1
ENSG00000089157,ENSMUSG00000067274,RPLP0
ENSG00000089163,ENSMUSG00000029524,SIRT4
ENSG00000089220,ENSMUSG00000032959,PEBP1
ENSG00000089327,ENSMUSG00000009687,FXYD5
ENSG00000089351,ENSMUSG00000001248,GRAMD1A
ENSG00000089356,ENSMUSG00000057092,FXYD3
ENSG00000089486,ENSMUSG00000004071,CDIP1
ENSG00000089685,ENSMUSG00000017716,BIRC5
ENSG00000089692,ENSMUSG00000030124,LAG3
ENSG00000089902,ENSMUSG00000037896,RCOR1
ENSG00000090006,ENSMUSG00000040488,LTBP4
ENSG00000090013,ENSMUSG00000040466,BLVRB
ENSG00000090097,ENSMUSG00000023495,PCBP4
ENSG00000090339,ENSMUSG00000037405,ICAM1
ENSG00000090376,ENSMUSG00000020227,IRAK3
ENSG00000090447,ENSMUSG00000005718,TFAP4
ENSG00000090554,ENSMUSG00000110206,FLT3LG
ENSG00000090565,ENSMUSG00000037098,RAB11FIP3
ENSG00000090659,ENSMUSG00000040197,CD209
ENSG00000090989,ENSMUSG00000036435,EXOC1
ENSG00000091039,ENSMUSG00000020189,OSBPL8
ENSG00000091106,ENSMUSG00000039193,NLRC4
ENSG00000091129,ENSMUSG00000020598,NRCAM
ENSG00000091181,ENSMUSG00000005364,IL5RA
ENSG00000091317,ENSMUSG00000032434,CMTM6
ENSG00000091428,ENSMUSG00000049044,RAPGEF4
ENSG00000091622,ENSMUSG00000040543,PITPNM3
ENSG00000091972,ENSMUSG00000022661,CD200
ENSG00000092010,ENSMUSG00000022216,PSME1
ENSG00000092020,ENSMUSG00000021022,PPP2R3C
ENSG00000092036,ENSMUSG00000022177,HAUS4
ENSG00000092051,ENSMUSG00000022208,JPH4
ENSG00000092203,ENSMUSG00000016831,TOX4
ENSG00000092208,ENSMUSG00000060121,GEMIN2
ENSG00000092531,ENSMUSG00000027287,SNAP23
ENSG00000092820,ENSMUSG00000052397,EZR
ENSG00000092850,ENSMUSG00000028845,TEKT2
ENSG00000092853,ENSMUSG00000042489,CLSPN
ENSG00000095303,ENSMUSG00000047250,PTGS1
ENSG00000095383,ENSMUSG00000039813,TBC1D2
ENSG00000095585,ENSMUSG00000061132,BLNK
ENSG00000095739,ENSMUSG00000024232,BAMBI
ENSG00000095906,ENSMUSG00000039183,NUBP2
ENSG00000096060,ENSMUSG00000024222,FKBP5
ENSG00000096063,ENSMUSG00000004865,SRPK1
ENSG00000096092,ENSMUSG00000025933,TMEM14A
ENSG00000096433,ENSMUSG00000042644,ITPR3
ENSG00000096968,ENSMUSG00000024789,JAK2
ENSG00000097033,ENSMUSG00000037062,SH3GLB1
ENSG00000099204,ENSMUSG00000025085,ABLIM1
ENSG00000099246,ENSMUSG00000073639,RAB18
ENSG00000099250,ENSMUSG00000025810,NRP1
ENSG00000099377,ENSMUSG00000042289,HSD3B7
ENSG00000099381,ENSMUSG00000042308,SETD1A
ENSG00000099385,ENSMUSG00000030814,BCL7C
ENSG00000099797,ENSMUSG00000031708,TECR
ENSG00000099814,ENSMUSG00000072825,CEP170B
ENSG00000099821,ENSMUSG00000020329,POLRMT
ENSG00000099822,ENSMUSG00000020331,HCN2
ENSG00000099834,ENSMUSG00000025497,CDHR5
ENSG00000099849,ENSMUSG00000038618,RASSF7
ENSG00000099860,ENSMUSG00000015312,GADD45B
ENSG00000099864,ENSMUSG00000035863,PALM
ENSG00000099904,ENSMUSG00000060166,ZDHHC8
ENSG00000099910,ENSMUSG00000022750,KLHL22
ENSG00000099937,ENSMUSG00000022766,SERPIND1
ENSG00000099954,ENSMUSG00000071226,CECR2
ENSG00000099956,ENSMUSG00000000902,SMARCB1
ENSG00000099985,ENSMUSG00000058755,OSM
ENSG00000099991,ENSMUSG00000020196,CABIN1
ENSG00000099992,ENSMUSG00000034412,TBC1D10A
ENSG00000099994,ENSMUSG00000006342,SUSD2
ENSG00000100027,ENSMUSG00000022773,YPEL1
ENSG00000100038,ENSMUSG00000022779,TOP3B
ENSG00000100095,ENSMUSG00000058153,SEZ6L
ENSG00000100105,ENSMUSG00000020453,PATZ1
ENSG00000100154,ENSMUSG00000033209,TTC28
ENSG00000100196,ENSMUSG00000010830,KDELR3
ENSG00000100226,ENSMUSG00000042535,GTPBP1
ENSG00000100241,ENSMUSG00000036529,SBF1
ENSG00000100271,ENSMUSG00000022442,TTLL1
ENSG00000100297,ENSMUSG00000005410,MCM5
ENSG00000100311,ENSMUSG00000000489,PDGFB
ENSG00000100316,ENSMUSG00000060036,RPL3
ENSG00000100321,ENSMUSG00000022415,SYNGR1
ENSG00000100346,ENSMUSG00000022416,CACNA1I
ENSG00000100359,ENSMUSG00000042303,SGSM3
ENSG00000100364,ENSMUSG00000036046,KIAA0930
ENSG00000100385,ENSMUSG00000068227,IL2RB
ENSG00000100418,ENSMUSG00000022472,DESI1
ENSG00000100427,ENSMUSG00000035805,MLC1
ENSG00000100445,ENSMUSG00000022223,SDR39U1
ENSG00000100473,ENSMUSG00000020953,COCH
ENSG00000100485,ENSMUSG00000034801,SOS2
ENSG00000100504,ENSMUSG00000021069,PYGL
ENSG00000100554,ENSMUSG00000021114,ATP6V1D
ENSG00000100558,ENSMUSG00000021118,PLEK2
ENSG00000100596,ENSMUSG00000021036,SPTLC2
ENSG00000100600,ENSMUSG00000021190,LGMN
ENSG00000100614,ENSMUSG00000021096,PPM1A
ENSG00000100628,ENSMUSG00000021200,ASB2
ENSG00000100644,ENSMUSG00000021109,HIF1A
ENSG00000100678,ENSMUSG00000079055,SLC8A3
ENSG00000100814,ENSMUSG00000071470,CCNB1IP1
ENSG00000100902,ENSMUSG00000021024,PSMA6
ENSG00000100906,ENSMUSG00000021025,NFKBIA
ENSG00000100908,ENSMUSG00000022217,EMC9
ENSG00000100911,ENSMUSG00000079197,PSME2
ENSG00000100938,ENSMUSG00000002326,GMPR2
ENSG00000100968,ENSMUSG00000023411,NFATC4
ENSG00000100985,ENSMUSG00000017737,MMP9
ENSG00000101000,ENSMUSG00000027611,PROCR
ENSG00000101004,ENSMUSG00000068115,NINL
ENSG00000101017,ENSMUSG00000017652,CD40
ENSG00000101096,ENSMUSG00000027544,NFATC2
ENSG00000101160,ENSMUSG00000016256,CTSZ
ENSG00000101162,ENSMUSG00000016255,TUBB1
ENSG00000101194,ENSMUSG00000023393,SLC17A9
ENSG00000101220,ENSMUSG00000027327,C20orf27
ENSG00000101224,ENSMUSG00000027330,CDC25B
ENSG00000101236,ENSMUSG00000048911,RNF24
ENSG00000101290,ENSMUSG00000058793,CDS2
ENSG00000101333,ENSMUSG00000039943,PLCB4
ENSG00000101335,ENSMUSG00000067818,MYL9
ENSG00000101336,ENSMUSG00000003283,HCK
ENSG00000101347,ENSMUSG00000027639,SAMHD1
ENSG00000101384,ENSMUSG00000027276,JAG1
ENSG00000101400,ENSMUSG00000027488,SNTA1
ENSG00000101412,ENSMUSG00000027490,E2F1
ENSG00000101425,ENSMUSG00000052922,BPI
ENSG00000101442,ENSMUSG00000037761,ACTR5
ENSG00000101445,ENSMUSG00000037754,PPP1R16B
ENSG00000101474,ENSMUSG00000033096,APMAP
ENSG00000101558,ENSMUSG00000024091,VAPA
ENSG00000101574,ENSMUSG00000055660,METTL4
ENSG00000101596,ENSMUSG00000024054,SMCHD1
ENSG00000101605,ENSMUSG00000024049,MYOM1
ENSG00000101608,ENSMUSG00000034868,MYL12A
